LOCAL DO TIROTEIO,DATA DO TIROTEIO,HORÁRIO DO TIROTEIO,MORTES?,CIVIS MORTOS,POLICIAIS MORTOS,FERIDOS?,CIVIS FERIDOS,POLICIAIS FERIDOS,OPERAÇÃO POLICIAL?,LATITUDE,LONGITUDE,INDEX
Cidade de Deus| Rio de Janeiro - RJ| Brasil,2016/07/06,00:29:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9481697083,-43.3626708984,71
Rua Doutor Garnier - Rocha| Rio de Janeiro - RJ| Brasil,2016/07/06,00:02:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8967285156,-43.2486839294,72
Jacaré| RJ| Brasil,2016/07/06,00:06:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8923263550,-43.2581939697,73
Rua do Engenho Novo - Sampaio| Rio de Janeiro - RJ| Brasil,2016/07/05,00:40:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9013099670,-43.2632179260,74
Rua Bispo Lacerda - Del Castilho| Rio de Janeiro - RJ| Brasil,2016/07/06,00:46:00,Não Sabe,1,0,Não Sabe,1,0,Não Sabe,-22.8763427734,-43.2680778503,75
Amendoeira| São Gonçalo - RJ| Brasil,2016/07/06,21:56:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8297595978,-42.9833145142,76
Rua Raul Pompéia - Engenho do Porto| Duque de Caxias - RJ| Brasil,2016/07/06,01:04:00,Não Sabe,0,0,Não Sabe,0,0,Não,-22.7939643860,-43.3190231323,77
Av. São Bento - São Bento| Duque de Caxias - RJ| Brasil,2016/07/05,20:00:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7367172241,-43.3026542664,78
Estrada de Belford Roxo| Nova Iguaçu - RJ| Brasil,2016/07/06,01:14:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.6839942932,-43.4469070435,79
Rua Ibiá - Turiaçu| Rio de Janeiro - RJ| Brasil,2016/07/06,01:44:00,Não Sabe,0,0,Não Sabe,0,0,Não,-22.8599529266,-43.3430671692,81
Av. União - Santa Terezinha| Mesquita - RJ| Brasil,2016/06/05,22:00:00,Sim,1,0,Sim,2,0,Não,-22.7903957367,-43.4355926514,82
Lins de Vasconcelos| Rio de Janeiro - RJ| Brasil,2016/07/05,20:40:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9128704071,-43.2845535278,83
Rua Pedro Guedes - Maracanã| Rio de Janeiro - RJ| Brasil,2016/07/06,06:51:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9127998352,-43.2209587097,84
Linha Amarela - Jacarepagua| Rio de Janeiro - RJ| Brasil,2016/07/06,07:50:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9656963348,-43.3570747375,85
Rua Cezar Muzio próximo ao 281 - Vicente de Carvalho| Rio de Janeiro - RJ| Brasil,2016/07/06,08:19:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8543300629,-43.3168601990,86
Rua do Magistrado - Bangu| Rio de Janeiro - RJ| Brasil,2016/07/04,11:30:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8722133636,-43.4773483276,90
Rua Enes Filho - Penha Circular| Rio de Janeiro - RJ| Brasil,2016/07/06,12:03:00,Não,0,0,Não,0,0,Não,-22.8333549500,-43.2862968445,91
Av. Vicente de Carvalho - Vicente de Carvalho| Rio de Janeiro - RJ| Brasil,2016/07/06,12:24:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8512935638,-43.3110656738,92
Rua Lisboa - Jardim Santa Rosa| São João de Meriti - RJ| Brasil,2016/07/06,16:03:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7699813843,-43.3498039246,94
Rua Lisboa - Jardim Santa Rosa| São João de Meriti - RJ| Brasil,2016/07/06,16:03:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7699813843,-43.3498039246,95
Rua Capineira - Vila Ideal| Duque de Caxias - RJ| Brasil,2016/07/06,17:55:00,Não Sabe,0,0,Sim,1,0,Sim,-22.7944641113,-43.3152313232,98
Rua São José - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9050159454,-43.1751098633,99
Rua da Ajuda - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:16:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9068737030,-43.1766166687,100
Estrada de Praia Seca| Araruama - RJ| Brasil,2016/07/06,18:46:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9229125977,-42.3427619934,101
Mangueira| Rio de Janeiro - RJ| Brasil,2016/07/06,18:48:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9052505493,-43.2340126038,102
Rua São José - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:15:00,Não Sabe,1,0,Não Sabe,1,0,Não Sabe,-22.9050159454,-43.1751098633,103
Complexo do Alemão| Rio de Janeiro - RJ| Brasil,2016/07/06,19:32:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8593330383,-43.2754745483,106
